conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1880458031185686911,Sun Jan 19 10:41:46 +0000 2025,0,@TsamaraDKI bisa dimulai dari kabinet dulu coba kalian makan bergizi tiap hari dgn menu yg sama tentunya dgn program MBG kalau tidak mau berarti memang programnya tidak layak kami juga ingin orang di kabinet sehat dengan menjalankan program MGB,1880928632329339093,,TsamaraDKI,in,,0,0,0,https://x.com/undefined/status/1880928632329339093,970246500,
1880290035733532750,Fri Jan 17 16:24:15 +0000 2025,0,jadi yang menurutku berhak untuk complain adalah yang bayar pajak atau masyarakat itu sendiri ketika tahu ada fakta makanan yang anak anak kita makan itu ternyata tidak bergizi atau tidak layak dijadikan menu makan siang.,1880290045816631579,,haduhrek,in,,0,1,0,https://x.com/undefined/status/1880290045816631579,1143969435297804288,
1877523070338085064,Fri Jan 10 01:09:17 +0000 2025,15,Makan bergizi gratis itu menunya berbeda² bergantung pengelola. Jika ada kritik terhadap menu yang tidak layak ya harus diterima bukan malah dituduh sebagai pembenci dan dihubung²kan dengan pilpres. Kecuali jika gambar dan video nya terbukti Hoax. Jangan cuma dibantah kalo,1877523070338085064,,,in,,0,2,2,https://x.com/undefined/status/1877523070338085064,1101696077147729920,
1876879615202849021,Wed Jan 08 06:32:25 +0000 2025,0,Ajaran Islam &gt;&gt; Berilah makanan sebagaimana yang biasa kita makan. Apabila sekiranya TIDAK LAYAK JANGAN DIBERIKAN PADA ORANG LAIN ️ Turunkan harga bahan pangan yg kian melonjak!! Agar ibu mereka bisa memasak menu makan siang yg lebih layak drpd menu Program Makan Bergizi Gratis https://t.co/KGsR4VHqDx,1876879615202849021,https://pbs.twimg.com/media/GgwEEE_bQAAI03h.jpg,,in,,0,1,0,https://x.com/undefined/status/1876879615202849021,1666611974720086017,
1876527857771716662,Tue Jan 07 07:14:40 +0000 2025,3,Kalau menunya memang layak bergizi dan sebanding dengan harganya kenapa tidak boleh di foto ? Pengakuan Murid Tak Boleh Sebar Foto Menu Makan Bergizi Gratis Diancam Dapat Sanksi. https://t.co/7f0y3nkDWM,1876527857771716662,,,in,,0,0,3,https://x.com/undefined/status/1876527857771716662,1330316263864799236,
1876282776007094573,Mon Jan 06 15:00:48 +0000 2025,0,Tidak ada susu dalam menu Makan Bergizi Gratis di Palembang. Hal ini diduga terjadi karena anggaran yang terbatas. Sejumlah siswa pun kecewa. #Nusantara #AdadiKompas https://t.co/4EECBHE4f7,1876282776007094573,,,in,,0,0,0,https://x.com/undefined/status/1876282776007094573,79237556,
1876281113728942421,Mon Jan 06 14:54:11 +0000 2025,0,Tidak ada susu dalam menu Makan Bergizi Gratis di Palembang. Hal ini diduga terjadi karena anggaran yang terbatas. Sejumlah siswa pun kecewa. #Nusantara #AdadiKompas https://t.co/6vJ8lCbqbj,1876281113728942421,,,in,,0,0,0,https://x.com/undefined/status/1876281113728942421,155456716,
1876277762438087063,Mon Jan 06 14:40:52 +0000 2025,2,Tidak ada susu dalam menu Makan Bergizi Gratis di Palembang. Hal ini diduga terjadi karena anggaran yang terbatas. Sejumlah siswa pun kecewa. #Nusantara #AdadiKompas https://t.co/bidajUYKL2,1876277762438087063,,,in,,0,0,0,https://x.com/undefined/status/1876277762438087063,255866913,
1876212440247214309,Mon Jan 06 10:29:28 +0000 2025,0,@bakuldimsum_ Jauhhh lebih enak inii menunya Seenggaknya layak untuk di makan daripada menu makan siang gratis yg tidak bergizi sama sekali,1876214494801858763,,bakuldimsum_,in,,0,1,0,https://x.com/undefined/status/1876214494801858763,1133046433,
1884158220249252085,Tue Jan 28 08:35:00 +0000 2025,0,Anggota Komisi IX DPR RI Irma Suryani menentang wacana serangga masuk dalam menu program Makan Bergizi Gratis (MBG) yang dibagikan kepada anak sekolah. Menurutnya wacana yang diungkap Kepala Badan Gizi Nasional (BGN) itu tidak layak. https://t.co/llAkw4yCex,1884158220249252085,,,in,,0,0,0,https://x.com/undefined/status/1884158220249252085,68930552,
1883376103735361916,Sun Jan 26 14:39:31 +0000 2025,0,@CNNIndonesia Ada baiknya juga apapun menu makan bergizi gratis ini dicicipi dulu oleh semua pejabat pusat di Jakarta sekalian juga kalau bisa dicicipi anak cucu mereka. Dengan begitu maka para pejabat bisa menilai apakah menu tersebut layak diberikan atau tidak.,1883525180502454621,,CNNIndonesia,in,,0,0,0,https://x.com/undefined/status/1883525180502454621,1528246249782030338,
1881922595257463004,Wed Jan 22 04:34:21 +0000 2025,0,Video berdurasi 11 menit 02 detik tersebut hanya menampilkan cuplikan dari beberapa peristiwa berbeda yang tidak berkaitan. Narator dalam video membacakan ulang berita https://t.co/2NeZIbWNYD Warganet Bongkar Busuknya Eksekusi Makan Bergizi Gratis Menu Tak Layak hingga Anggaran,1881923331609575694,,humaspoldajbr,in,,0,1,0,https://x.com/undefined/status/1881923331609575694,218742561,
1880458031185686911,Sun Jan 19 10:41:46 +0000 2025,0,@TsamaraDKI bisa dimulai dari kabinet dulu coba kalian makan bergizi tiap hari dgn menu yg sama tentunya dgn program MBG kalau tidak mau berarti memang programnya tidak layak kami juga ingin orang di kabinet sehat dengan menjalankan program MGB,1880928632329339093,,TsamaraDKI,in,,0,0,0,https://x.com/undefined/status/1880928632329339093,970246500,
1880290035733532750,Fri Jan 17 16:24:15 +0000 2025,0,jadi yang menurutku berhak untuk complain adalah yang bayar pajak atau masyarakat itu sendiri ketika tahu ada fakta makanan yang anak anak kita makan itu ternyata tidak bergizi atau tidak layak dijadikan menu makan siang.,1880290045816631579,,haduhrek,in,,0,1,0,https://x.com/undefined/status/1880290045816631579,1143969435297804288,
1877523070338085064,Fri Jan 10 01:09:17 +0000 2025,15,Makan bergizi gratis itu menunya berbeda² bergantung pengelola. Jika ada kritik terhadap menu yang tidak layak ya harus diterima bukan malah dituduh sebagai pembenci dan dihubung²kan dengan pilpres. Kecuali jika gambar dan video nya terbukti Hoax. Jangan cuma dibantah kalo,1877523070338085064,,,in,,0,2,2,https://x.com/undefined/status/1877523070338085064,1101696077147729920,
1876879615202849021,Wed Jan 08 06:32:25 +0000 2025,0,Ajaran Islam &gt;&gt; Berilah makanan sebagaimana yang biasa kita makan. Apabila sekiranya TIDAK LAYAK JANGAN DIBERIKAN PADA ORANG LAIN ️ Turunkan harga bahan pangan yg kian melonjak!! Agar ibu mereka bisa memasak menu makan siang yg lebih layak drpd menu Program Makan Bergizi Gratis https://t.co/KGsR4VHqDx,1876879615202849021,https://pbs.twimg.com/media/GgwEEE_bQAAI03h.jpg,,in,,0,1,0,https://x.com/undefined/status/1876879615202849021,1666611974720086017,
1876527857771716662,Tue Jan 07 07:14:40 +0000 2025,3,Kalau menunya memang layak bergizi dan sebanding dengan harganya kenapa tidak boleh di foto ? Pengakuan Murid Tak Boleh Sebar Foto Menu Makan Bergizi Gratis Diancam Dapat Sanksi. https://t.co/7f0y3nkDWM,1876527857771716662,,,in,,0,0,3,https://x.com/undefined/status/1876527857771716662,1330316263864799236,
1876282776007094573,Mon Jan 06 15:00:48 +0000 2025,0,Tidak ada susu dalam menu Makan Bergizi Gratis di Palembang. Hal ini diduga terjadi karena anggaran yang terbatas. Sejumlah siswa pun kecewa. #Nusantara #AdadiKompas https://t.co/4EECBHE4f7,1876282776007094573,,,in,,0,0,0,https://x.com/undefined/status/1876282776007094573,79237556,
1876281113728942421,Mon Jan 06 14:54:11 +0000 2025,0,Tidak ada susu dalam menu Makan Bergizi Gratis di Palembang. Hal ini diduga terjadi karena anggaran yang terbatas. Sejumlah siswa pun kecewa. #Nusantara #AdadiKompas https://t.co/6vJ8lCbqbj,1876281113728942421,,,in,,0,0,0,https://x.com/undefined/status/1876281113728942421,155456716,
1876277762438087063,Mon Jan 06 14:40:52 +0000 2025,2,Tidak ada susu dalam menu Makan Bergizi Gratis di Palembang. Hal ini diduga terjadi karena anggaran yang terbatas. Sejumlah siswa pun kecewa. #Nusantara #AdadiKompas https://t.co/bidajUYKL2,1876277762438087063,,,in,,0,0,0,https://x.com/undefined/status/1876277762438087063,255866913,
1876212440247214309,Mon Jan 06 10:29:28 +0000 2025,0,@bakuldimsum_ Jauhhh lebih enak inii menunya Seenggaknya layak untuk di makan daripada menu makan siang gratis yg tidak bergizi sama sekali,1876214494801858763,,bakuldimsum_,in,,0,1,0,https://x.com/undefined/status/1876214494801858763,1133046433,
1884158220249252085,Tue Jan 28 08:35:00 +0000 2025,0,Anggota Komisi IX DPR RI Irma Suryani menentang wacana serangga masuk dalam menu program Makan Bergizi Gratis (MBG) yang dibagikan kepada anak sekolah. Menurutnya wacana yang diungkap Kepala Badan Gizi Nasional (BGN) itu tidak layak. https://t.co/llAkw4yCex,1884158220249252085,,,in,,0,0,0,https://x.com/undefined/status/1884158220249252085,68930552,
1883376103735361916,Sun Jan 26 14:39:31 +0000 2025,0,@CNNIndonesia Ada baiknya juga apapun menu makan bergizi gratis ini dicicipi dulu oleh semua pejabat pusat di Jakarta sekalian juga kalau bisa dicicipi anak cucu mereka. Dengan begitu maka para pejabat bisa menilai apakah menu tersebut layak diberikan atau tidak.,1883525180502454621,,CNNIndonesia,in,,0,0,0,https://x.com/undefined/status/1883525180502454621,1528246249782030338,
1881922595257463004,Wed Jan 22 04:34:21 +0000 2025,0,Video berdurasi 11 menit 02 detik tersebut hanya menampilkan cuplikan dari beberapa peristiwa berbeda yang tidak berkaitan. Narator dalam video membacakan ulang berita https://t.co/2NeZIbWNYD Warganet Bongkar Busuknya Eksekusi Makan Bergizi Gratis Menu Tak Layak hingga Anggaran,1881923331609575694,,humaspoldajbr,in,,0,1,0,https://x.com/undefined/status/1881923331609575694,218742561,
1880458031185686911,Sun Jan 19 10:41:46 +0000 2025,0,@TsamaraDKI bisa dimulai dari kabinet dulu coba kalian makan bergizi tiap hari dgn menu yg sama tentunya dgn program MBG kalau tidak mau berarti memang programnya tidak layak kami juga ingin orang di kabinet sehat dengan menjalankan program MGB,1880928632329339093,,TsamaraDKI,in,,0,0,0,https://x.com/undefined/status/1880928632329339093,970246500,
1880290035733532750,Fri Jan 17 16:24:15 +0000 2025,0,jadi yang menurutku berhak untuk complain adalah yang bayar pajak atau masyarakat itu sendiri ketika tahu ada fakta makanan yang anak anak kita makan itu ternyata tidak bergizi atau tidak layak dijadikan menu makan siang.,1880290045816631579,,haduhrek,in,,0,1,0,https://x.com/undefined/status/1880290045816631579,1143969435297804288,
1877523070338085064,Fri Jan 10 01:09:17 +0000 2025,15,Makan bergizi gratis itu menunya berbeda² bergantung pengelola. Jika ada kritik terhadap menu yang tidak layak ya harus diterima bukan malah dituduh sebagai pembenci dan dihubung²kan dengan pilpres. Kecuali jika gambar dan video nya terbukti Hoax. Jangan cuma dibantah kalo,1877523070338085064,,,in,,0,2,2,https://x.com/undefined/status/1877523070338085064,1101696077147729920,
1876879615202849021,Wed Jan 08 06:32:25 +0000 2025,0,Ajaran Islam &gt;&gt; Berilah makanan sebagaimana yang biasa kita makan. Apabila sekiranya TIDAK LAYAK JANGAN DIBERIKAN PADA ORANG LAIN ️ Turunkan harga bahan pangan yg kian melonjak!! Agar ibu mereka bisa memasak menu makan siang yg lebih layak drpd menu Program Makan Bergizi Gratis https://t.co/KGsR4VHqDx,1876879615202849021,https://pbs.twimg.com/media/GgwEEE_bQAAI03h.jpg,,in,,0,1,0,https://x.com/undefined/status/1876879615202849021,1666611974720086017,
1876527857771716662,Tue Jan 07 07:14:40 +0000 2025,3,Kalau menunya memang layak bergizi dan sebanding dengan harganya kenapa tidak boleh di foto ? Pengakuan Murid Tak Boleh Sebar Foto Menu Makan Bergizi Gratis Diancam Dapat Sanksi. https://t.co/7f0y3nkDWM,1876527857771716662,,,in,,0,0,3,https://x.com/undefined/status/1876527857771716662,1330316263864799236,
1876282776007094573,Mon Jan 06 15:00:48 +0000 2025,0,Tidak ada susu dalam menu Makan Bergizi Gratis di Palembang. Hal ini diduga terjadi karena anggaran yang terbatas. Sejumlah siswa pun kecewa. #Nusantara #AdadiKompas https://t.co/4EECBHE4f7,1876282776007094573,,,in,,0,0,0,https://x.com/undefined/status/1876282776007094573,79237556,
1876281113728942421,Mon Jan 06 14:54:11 +0000 2025,0,Tidak ada susu dalam menu Makan Bergizi Gratis di Palembang. Hal ini diduga terjadi karena anggaran yang terbatas. Sejumlah siswa pun kecewa. #Nusantara #AdadiKompas https://t.co/6vJ8lCbqbj,1876281113728942421,,,in,,0,0,0,https://x.com/undefined/status/1876281113728942421,155456716,
1876277762438087063,Mon Jan 06 14:40:52 +0000 2025,2,Tidak ada susu dalam menu Makan Bergizi Gratis di Palembang. Hal ini diduga terjadi karena anggaran yang terbatas. Sejumlah siswa pun kecewa. #Nusantara #AdadiKompas https://t.co/bidajUYKL2,1876277762438087063,,,in,,0,0,0,https://x.com/undefined/status/1876277762438087063,255866913,
1876212440247214309,Mon Jan 06 10:29:28 +0000 2025,0,@bakuldimsum_ Jauhhh lebih enak inii menunya Seenggaknya layak untuk di makan daripada menu makan siang gratis yg tidak bergizi sama sekali,1876214494801858763,,bakuldimsum_,in,,0,1,0,https://x.com/undefined/status/1876214494801858763,1133046433,
